entity,field_name,desc,required,type,blank,default,secmod,backend_table,backend_db_field_name
Loc,LocLimitCode2Other,Location other building limit code,CR,tinyint,YES,0,,LocationFinancials,LimitCode
Loc,LocLimitCode3Contents,Location contents limit code,CR,tinyint,YES,0,,LocationFinancials,LimitCode
Loc,LocLimitCode4BI,Location BI limit code,CR,tinyint,YES,0,,LocationFinancials,LimitCode
Loc,LocLimitCode5PD,Location PD limit code,CR,tinyint,YES,0,,LocationFinancials,LimitCode
Loc,LocLimitCode6All,Location site limit code,CR,tinyint,YES,0,,LocationFinancials,LimitCode
Loc,LocLimitType1Building,Location building limit type,CR,tinyint,YES,0,,LocationFinancials,LimitType
Loc,LocLimitType2Other,Location other building limit type,CR,tinyint,YES,0,,LocationFinancials,LimitType
Loc,LocLimitType3Contents,Location contents limit type,CR,tinyint,YES,0,,LocationFinancials,LimitType
Loc,LocLimitType4BI,Location BI limit type,CR,tinyint,YES,0,,LocationFinancials,LimitType
Loc,LocLimitType5PD,Location PD limit type,CR,tinyint,YES,0,,LocationFinancials,LimitType
Loc,LocLimitType6All,Location site limit type,CR,tinyint,YES,0,,LocationFinancials,LimitType
Loc,LocMaxDed1Building,Location maximum building deductible,CR,float,YES,0,,LocationFinancials,MaxDed
Loc,LocMaxDed2Other,Location maximum other building deductible,CR,float,YES,0,,LocationFinancials,MaxDed
Loc,LocMaxDed3Contents,Location maximum contents deductible,CR,float,YES,0,,LocationFinancials,MaxDed
Loc,LocMaxDed4BI,Location maximum bi deductible,CR,float,YES,0,,LocationFinancials,MaxDed
Loc,LocMaxDed5PD,Location maximum PD deductible,CR,float,YES,0,,LocationFinancials,MaxDed
Loc,LocMaxDed6All,Location maximum blanket deductible,CR,float,YES,0,,LocationFinancials,MaxDed
Loc,LocMinDed1Building,Location minimum building deductible,CR,float,YES,0,,LocationFinancials,MinDed
Loc,LocMinDed2Other,Location minimum other building deductible,CR,float,YES,0,,LocationFinancials,MinDed
Loc,LocMinDed3Contents,Location minimum contents deductible,CR,float,YES,0,,LocationFinancials,MinDed
Loc,LocMinDed4BI,Location minimum bi deductible,CR,float,YES,0,,LocationFinancials,MinDed
Loc,LocMinDed5PD,Location minimum PD deductible,CR,float,YES,0,,LocationFinancials,MinDed
Loc,LocMinDed6All,Location minimum blanket deductible,CR,float,YES,0,,LocationFinancials,MinDed
Loc,LocName,Location name,O,nvarchar(20),YES,,,Locations,
Loc,LocNetPremium,Net premium at location level,O,float,YES,0,,Locations,NetPremium
Loc,LocNumber,Location number,R,nvarchar(20),NO,,,Locations,
Loc,LocParticipation,Percentage of risk that the insurer covers for this location. Values between 0 to 1 (e.g. 12% enterd as 0.12). Usually used in binders or offshore.,O,float,YES,1,,Locations,Participation
Loc,LocPeril,Perils for location financial terms,CR,varchar(250),YES,,,LocationFinancials,PerilCode
Loc,LocPerilsCovered,Location perils covered,R,varchar(250),NO,,,Locations,PerilsCovered
Loc,LocTax,Insurance tax amount at location level,O,float,YES,0,,Locations,Tax
Loc,LocUserDef1,Location user defined field 1,O,varchar(20),YES,,,Locations,
Loc,LocUserDef2,Location user defined field 2,O,varchar(20),YES,,,Locations,
Loc,LocUserDef3,Location user defined field 3,O,varchar(20),YES,,,Locations,
Loc,LocUserDef4,Location user defined field 4,O,varchar(20),YES,,,Locations,
Loc,LocUserDef5,Location user defined field 5,O,varchar(20),YES,,,Locations,
Loc,Longitude,Longitude in degrees (-180.0 to +180.0),O,decimal,YES,0,,Locations,
Loc,MechanicalEquipmentSide,Mechanical or electrical equipment at the side,O,tinyint,YES,0,1.0,LocationDetails,
Loc,MultiStoryHall,Code that indicates if the building has a multi-story hall,O,tinyint,YES,0,1.0,LocationDetails,
Loc,NonCatGroundUpLoss,Ground-Up non-cat loss value prior to the application of non-cat policy terms,O,float,YES,0,,Locations,
Loc,NumberOfBuildings,Number of buildings,O,int,YES,1,,Locations,
Loc,NumberOfEmployees,Number of employees,O,int,YES,,,WorkersComp,
Loc,NumberOfStoreys,Number of storeys,O,tinyint,YES,0,,Locations,
Loc,OccupancyCode,OED occupancy code,O,int,YES,1000,,Locations,
Loc,OrgConstructionCode,Original construction code,O,varchar(100),YES,,,Locations,
Loc,OrgConstructionScheme,Original construction scheme,O,varchar(10),YES,,,Locations,
Loc,OrgOccupancyCode,Original occupancy code,O,varchar(100),YES,,,Locations,
Loc,OrgOccupancyScheme,Original occupancy scheme,O,varchar(10),YES,,,Locations,
Loc,Ornamentation,Code that represents the amount of decorative elements attached to the exterior of a building,O,tinyint,YES,0,1.0,LocationDetails,
Loc,OtherTIV,"Other Building Insured Value (primarily aimed at specific US policies). For motor exposures, use this field for TIV along with appropriate motor construction code.",R,float,NO,,,Locations,
Loc,Packaging,Describes the susceptibility of the packaging of a risk to the peril,O,tinyint,YES,0,1.0,LocationDetails,
Loc,PayoutBasis,Pay-out basis for the claim (whether depreciation is taken into account). ACV = RCV - depreciation.,O,tinyint,YES,0,,Locations,
Loc,Payroll,Total payroll,O,int,YES,,,WorkersComp,
Loc,PercentComplete,Completeness percentage of the construction project at this location. The project completion percentage is by the cost of the project. Values between 0 to 1 (e.g. 12% enterd as 0.12),O,decimal,YES,1,,Locations,
Loc,PercentSprinklered,Percent sprinklered. Values between 0 and 1 inclusive (0.5 = 50%); -999 is unknown,O,float,YES,-999,1.0,LocationDetails,
Loc,PortNumber,Portfolio number,R,varchar(20),NO,,,Portfolios,
Loc,PostalCode,Postcode: the highest resolution postcode most often used. (e.g. 5 digit zip for the US).,O,nvarchar(20),YES,,,Locations,
Loc,Pounding,"Code that represents the distance to the closest structure, which if not adequate, can cause the two structures to collide during earthquake shaking",O,tinyint,YES,0,1.0,LocationDetails,
Loc,Protection,Describes the level of protection from the specific peril,O,tinyint,YES,0,1.0,LocationDetails,
Loc,Redundancy,"Indicates whether there are multiple lateral load resisting elements, such as frames or shear walls",O,tinyint,YES,0,1.0,LocationDetails,
Loc,ReinsTag,User defined reinsurance tag to provide a further option for specifying reinsurance scope,O,varchar(20),YES,,,Locations,
Loc,Retrofit,Presence of retro fit connectivity between walls and floor for retro fit buildings,O,tinyint,YES,0,1.0,LocationDetails,
Loc,RoofAnchorage,Code that represents the connections used to secure the roof support system to the walls,O,tinyint,YES,0,1.0,LocationDetails,
Loc,RoofAttachedStructures,"Code that identifies items mounted on the roof, such as A/C units, skylights, or dormers",O,tinyint,YES,0,1.0,LocationDetails,
Loc,RoofCover,Code that represents the material used to cover the roof,O,tinyint,YES,0,1.0,LocationDetails,
Loc,RoofCoverAttachment,Code that represents the connections used to secure the roof covering to the roof deck,O,tinyint,YES,0,1.0,LocationDetails,
Loc,RoofDeck,Code that represents the materials used to construct the roof deck,O,tinyint,YES,0,1.0,LocationDetails,
