group,key,id,desc,column_name_regex,validation
currencies,nicaragua/cordoba oro,NIO,nicaragua - cordoba oro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,niger (the)/cfa franc bceao,XOF,niger (the) - cfa franc bceao,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,nigeria/naira,NGN,nigeria - naira,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,niue/new zealand dollar,NZD,niue - new zealand dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,norfolk island/australian dollar,AUD,norfolk island - australian dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,northern mariana islands (the)/us dollar,USD,northern mariana islands (the) - us dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,norway/norwegian krone,NOK,norway - norwegian krone,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,oman/rial omani,OMR,oman - rial omani,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,pakistan/pakistan rupee,PKR,pakistan - pakistan rupee,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,palau/us dollar,USD,palau - us dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,"palestine, state of/no universal currency",,"palestine, state of - no universal currency",(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,panama/balboa,PAB,panama - balboa,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,panama/us dollar,USD,panama - us dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,papua new guinea/kina,PGK,papua new guinea - kina,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,paraguay/guarani,PYG,paraguay - guarani,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,peru/sol,PEN,peru - sol,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,philippines (the)/philippine piso,PHP,philippines (the) - philippine piso,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,pitcairn/new zealand dollar,NZD,pitcairn - new zealand dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,poland/zloty,PLN,poland - zloty,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,portugal/euro,EUR,portugal - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,puerto rico/us dollar,USD,puerto rico - us dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,qatar/qatari rial,QAR,qatar - qatari rial,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,rã‰union/euro,EUR,rã‰union - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,romania/romanian leu,RON,romania - romanian leu,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,russian federation (the)/russian ruble,RUB,russian federation (the) - russian ruble,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,rwanda/rwanda franc,RWF,rwanda - rwanda franc,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,saint barthã‰lemy/euro,EUR,saint barthã‰lemy - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,"saint helena, ascension and tristan da cunha/saint helena pound",SHP,"saint helena, ascension and tristan da cunha - saint helena pound",(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,saint kitts and nevis/east caribbean dollar,XCD,saint kitts and nevis - east caribbean dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,saint lucia/east caribbean dollar,XCD,saint lucia - east caribbean dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,saint martin (french part)/euro,EUR,saint martin (french part) - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,saint pierre and miquelon/euro,EUR,saint pierre and miquelon - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,saint vincent and the grenadines/east caribbean dollar,XCD,saint vincent and the grenadines - east caribbean dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,samoa/tala,WST,samoa - tala,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,san marino/euro,EUR,san marino - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,sao tome and principe/dobra,STD,sao tome and principe - dobra,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,saudi arabia/saudi riyal,SAR,saudi arabia - saudi riyal,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,senegal/cfa franc bceao,XOF,senegal - cfa franc bceao,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,serbia/serbian dinar,RSD,serbia - serbian dinar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,seychelles/seychelles rupee,SCR,seychelles - seychelles rupee,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,sierra leone/leone,SLL,sierra leone - leone,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,singapore/singapore dollar,SGD,singapore - singapore dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,sint maarten (dutch part)/netherlands antillean guilder,ANG,sint maarten (dutch part) - netherlands antillean guilder,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,"sistema unitario de compensacion regional de pagos ""sucre""/sucre",XSU,"sistema unitario de compensacion regional de pagos ""sucre"" - sucre",(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,slovakia/euro,EUR,slovakia - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,slovenia/euro,EUR,slovenia - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,solomon islands/solomon islands dollar,SBD,solomon islands - solomon islands dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,somalia/somali shilling,SOS,somalia - somali shilling,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,south africa/rand,ZAR,south africa - rand,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,south georgia and the south sandwich islands/no universal currency,,south georgia and the south sandwich islands - no universal currency,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
